iter	Passed	Remaining
860	1573	254
861	1574	252
862	1576	250
863	1577	248
864	1578	246
865	1582	244
866	1583	242
867	1585	241
868	1587	239
869	1588	237
870	1589	235
871	1590	233
872	1592	231
873	1593	229
874	1596	228
875	1597	226
876	1599	224
877	1600	222
878	1602	220
879	1603	218
880	1604	216
881	1605	214
882	1607	212
883	1608	211
884	1610	209
885	1612	207
886	1613	205
887	1614	203
888	1615	201
889	1616	199
890	1618	197
891	1619	196
892	1620	194
893	1621	192
894	1622	190
895	1624	188
896	1625	186
897	1627	184
898	1628	182
899	1629	181
900	1631	179
901	1632	177
902	1633	175
903	1634	173
904	1635	171
905	1636	169
906	1637	167
907	1639	166
908	1641	164
909	1642	162
910	1643	160
911	1645	158
912	1646	156
913	1647	154
914	1648	153
915	1649	151
916	1650	149
917	1651	147
918	1653	145
919	1655	143
920	1656	142
921	1657	140
922	1659	138
923	1660	136
924	1661	134
925	1662	132
926	1663	130
927	1664	129
928	1665	127
929	1666	125
930	1669	123
931	1670	121
932	1672	120
933	1673	118
934	1674	116
935	1676	114
936	1677	112
937	1678	110
938	1679	109
939	1680	107
940	1681	105
941	1683	103
942	1684	101
943	1686	100
944	1687	98
945	1688	96
946	1689	94
947	1691	92
948	1692	90
949	1693	89
950	1694	87
951	1695	85
952	1696	83
953	1699	81
954	1700	80
955	1701	78
956	1702	76
957	1703	74
958	1705	72
959	1706	71
960	1707	69
961	1708	67
962	1709	65
963	1710	63
964	1711	62
965	1713	60
966	1715	58
967	1716	56
968	1717	54
969	1718	53
970	1719	51
971	1720	49
972	1722	47
973	1723	45
974	1724	44
975	1725	42
976	1726	40
977	1728	38
978	1730	37
979	1731	35
980	1732	33
981	1733	31
982	1734	30
983	1736	28
984	1737	26
985	1738	24
986	1739	22
987	1740	21
988	1743	19
989	1745	17
990	1746	15
991	1747	14
992	1748	12
993	1749	10
994	1750	8
995	1751	7
996	1753	5
997	1754	3
998	1755	1
999	1756	0
